メーカー,品名,型番,モジュールあたり必要数,,,,,,,,,,,,,
,片面丸型ﾕﾆﾊﾞｰｻﾙ基板 20mm,AE-20mm 108753,1,,,,,,,,,,,,,
,ﾏｲｸﾛﾁｯﾌﾟ PICkit5,,,,,,,,,,,,,,,
,QIコネクタ ,QI-2 ,,,,,,,,,,,,,,
,"ビットインサート スタンダー
ド SB(黄銅(カドミレス))(パック
品)",SB304540CD ,,,,,,,,,,,,,,
大阪魂,(+)ナベ頭小ねじ(ステンレス) ,M3×6,,,,,,,,,,,,,,
大阪魂,(+)ナベ頭小ねじ(ステンレス) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,M3×10,,,,,,,,,,,,,,
"DATA POWER TECHNOLO
GY","リチウムイオンポリマー電池(
3.7V 700mAh)",,1,,,,,,,,,,,,,
NOK,"Oリング Pシリーズ(運動用) ",P48,1,,,,,,,,,,,,,
廣杉計器,"インサートナット(黄銅ビット
インサート) HSB-0000",HSB-3007 ,,,,,,,,,,,,,,
GFORCE,Lipo Bag Safety Box ,G0998 ,,,,,,,,,,,,,,
DFRobot,Type-Cコネクタ搭載 LiPoチャージャー,DFROBOT-DFR0668 ,,,,,,,,,,,,,,
,曲げｾﾝｻ（60mm）,ALPHA-MB060-N-221-A02,1,,,,,,,,,,,,,
浜松ﾎﾄﾆｸｽ ,ﾌｫﾄICﾀﾞｲｵｰﾄﾞ 650nm ,S7184 116617 S7184,1,,,,,,,,,,,,,
HITEC,"ｳｫｰﾀｰﾌﾟﾙｰﾌ ﾏｲｸﾛ ﾃﾞｼﾞﾀﾙｻｰﾎﾞ
(3.6kg/0.15s)",HS-5086WP,1,,,,,,,,,,,,,
秋月電子通商 ,"SOP8 1.27mm8ピンDIP変換基板
",106016 AE-1.27X8P,,,,,,,,,,,,,,
Herwell Asia Limited ,"ﾊｳｼﾞﾝｸﾞ用QIｺﾈｸﾀｰｺﾝﾀｸﾄ付ｺｰﾄﾞ
黒赤2色計10本 (Black+Red) ",131311 DG01032-0068-01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
