elapsed_sec,angle_deg,flex_raw_adc,current_mA
1.5150508880615234,90.0,700.0,1.16
1.537297010421753,96.0,700.0,0.62
1.5684068202972412,105.0,700.0,3.79
1.5746850967407227,114.0,700.0,350.58
1.5946390628814697,122.0,694.0,362.77
1.612605094909668,130.0,700.0,291.61
1.6338238716125488,136.0,700.0,265.0
1.679527997970581,141.0,691.0,223.39
1.679947853088379,145.0,704.0,332.9
1.6983888149261475,148.0,700.0,0.62
1.712616205215454,149.0,700.0,-27.28
1.7368979454040527,149.0,700.0,0.49
1.7587089538574219,147.0,700.0,0.62
1.772508144378662,144.0,700.0,3.93
1.8003740310668945,140.0,700.0,0.49
1.8162569999694824,134.0,700.0,11.07
1.836954116821289,127.0,701.0,278.08
1.8617980480194092,120.0,700.0,155.04
1.8741788864135742,111.0,697.0,327.5
1.892664909362793,102.0,703.0,278.75
1.9157390594482422,93.0,700.0,310.94
1.933298110961914,83.0,700.0,61.34
1.959338903427124,74.0,701.0,108.93
1.9778437614440918,65.0,707.0,248.66
1.9923880100250244,57.0,699.0,211.21
2.0126419067382812,49.0,700.0,221.38
2.033568859100342,43.0,700.0,251.7
2.077476978302002,38.0,700.0,194.37
2.093470811843872,31.0,700.0,129.55
2.1160659790039062,30.0,702.0,134.73
2.1326119899749756,30.0,693.0,0.62
2.153643846511841,32.0,709.0,3.93
2.180738925933838,35.0,700.0,0.62
2.1935079097747803,39.0,700.0,3.93
2.2133758068084717,45.0,700.0,72.46
2.287031888961792,52.0,698.0,390.45
2.320017099380493,68.0,700.0,5.58
2.320882797241211,77.0,700.0,0.94
2.322416067123413,86.0,699.0,278.97
2.3329479694366455,96.0,700.0,254.15
2.355173110961914,105.0,700.0,213.17
2.3744900226593018,114.0,700.0,239.42
2.3936610221862793,122.0,700.0,215.67
2.413480043411255,130.0,701.0,195.49
2.433213949203491,136.0,710.0,23.88
2.4575419425964355,141.0,700.0,23.71
2.5027408599853516,145.0,700.0,218.21
2.502760171890259,148.0,700.0,5.67
2.515655994415283,149.0,700.0,0.49
2.5367789268493652,149.0,701.0,0.71
2.5543160438537598,147.0,700.0,16.96
2.574120044708252,144.0,700.0,1.16
2.603038787841797,140.0,701.0,0.49
2.6128768920898438,134.0,700.0,0.62
2.637601852416992,127.0,701.0,0.49
2.6543760299682617,120.0,700.0,60.8
2.682621955871582,111.0,702.0,228.53
2.713381052017212,93.0,700.0,255.67
2.7333009243011475,83.0,700.0,276.34
2.753739833831787,74.0,700.0,215.27
2.783796787261963,65.0,701.0,23.57
2.798125982284546,57.0,700.0,234.02
2.8154549598693848,49.0,701.0,196.79
2.833031177520752,43.0,700.0,246.12
2.853222131729126,38.0,700.0,63.44
2.8986549377441406,34.0,700.0,-16.07
2.9053947925567627,31.0,700.0,36.96
2.9129860401153564,30.0,700.0,235.22
2.954525947570801,32.0,700.0,0.49
2.987435817718506,35.0,700.0,5.67
3.00272798538208,39.0,700.0,0.62
3.016860008239746,45.0,701.0,73.21
3.037137985229492,52.0,700.0,362.32
3.0527498722076416,59.0,697.0,368.79
3.088115930557251,68.0,700.0,146.16
3.1038320064544678,77.0,707.0,288.53
3.11313796043396,86.0,700.0,324.2
3.133795976638794,96.0,700.0,249.87
3.153625011444092,105.0,696.0,97.95
3.1871089935302734,114.0,694.0,171.07
3.193679094314575,122.0,700.0,255.76
3.2127649784088135,130.0,697.0,202.95
3.2329399585723877,136.0,700.0,20.04
3.25361704826355,141.0,700.0,16.34
3.273879051208496,145.0,700.0,282.37
3.296008825302124,148.0,701.0,236.79
3.3137869834899902,149.0,700.0,0.71
3.3338048458099365,149.0,700.0,0.71
3.3532321453094482,147.0,700.0,31.25
